Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2017-05-01,2388.3301,1.6859594098545816,20913.4609,1.6764943050511885
2017-05-02,2391.1699,1.6879640688973598,20949.8906,1.6794146339664624
2017-05-03,2388.1299,1.6858180855569673,20957.9004,1.680056726834248
2017-05-04,2389.52,1.6867993787942963,20951.4707,1.6795413001679145
2017-05-05,2399.29,1.693696173937597,21006.9395,1.683987868230115
2017-05-08,2399.3799,1.6937596357475646,21012.2793,1.6844159247977446
2017-05-09,2396.9199,1.6920230834392207,20975.7793,1.6814899603948672
2017-05-10,2399.6299,1.693936114640689,20943.1094,1.6788710298621121
2017-05-11,2394.4399,1.6902724128194269,20919.4199,1.6769719988012364
2017-05-12,2390.8999,1.6877734716927855,20896.6094,1.6751434313762548
2017-05-15,2402.3201,1.6958351687138218,20981.9395,1.6819837830226647
2017-05-16,2400.6699,1.6946702668360865,20979.75,1.6818082652401962
2017-05-17,2357.03,1.6638641818438518,20606.9297,1.6519217193095093
2017-05-18,2365.72,1.669998588168855,20663.0195,1.6564180688482628
2017-05-19,2381.73,1.6813002964845405,20804.8398,1.6677868674621095
2017-05-22,2394.02,1.6899759988705352,20894.8301,1.6750007966238698
2017-05-23,2398.4199,1.693081956797967,20937.9102,1.678454244269689
2017-05-24,2404.3899,1.6972962727657774,21012.4199,1.6844271957729515
2017-05-25,2415.0701,1.7048355922631653,21082.9492,1.6900810648458242
2017-05-26,2415.8201,1.7053650289425386,21080.2793,1.6898670365620092
2017-05-30,2412.9099,1.7033106734434564,21029.4707,1.6857940460151593
2017-05-31,2411.8,1.7025271777495414,21008.6504,1.6841250198053719
2017-06-01,2430.0601,1.7154172666949035,21144.1797,1.6949895104176156
2017-06-02,2439.0701,1.721777566003106,21206.2891,1.6999684116089602
2017-06-05,2436.1001,1.7196809967527886,21184.0391,1.6981847757743296
2017-06-06,2429.3301,1.7149019483269803,21136.2305,1.6943522754523732
2017-06-07,2433.1399,1.7175913454750813,21173.6895,1.6973551165638083
2017-06-08,2433.79,1.7180502611887618,21182.5293,1.698063745060481
2017-06-09,2431.77,1.716624311732317,21271.9707,1.7052336725274269
2017-06-12,2429.3899,1.7149441620782155,21235.6699,1.7023236766754823
